Categories,Final_Category
AIR FILTER OUTLET HOSE,AIR FILTER
REAR BUMPER REFLECTOR RHS,BUMPER
ENGINE UNDER COVER LHS,ENGINE UNDER
TYRE_195/55/R15,TYRE
REAR AC VENT,AC VENT
WHEEL COVER,WHEEL COVER
AIR FILTER HOUSING COVER (UPPER),AIR FILTER
NUMBER PLATE LIGHT (LHS/RHS),NUMBER PLATE
REAR BUMPER REFLECTOR LHS,BUMPER
FRONT SHOCKER BOOT (LHS/RHS),SHOCK ABSORBER
HVAC UNIT,OTHERS
FRONT POWER WINDOW MOTOR RHS,OTHERS
FRONT ABS SENSOR LHS,BRAKE SENSOR
SPARK PLUG,OTHERS
ABS MODULE,OTHERS
TYRE_155/R13LT90/89Q,TYRE
PEDAL PAD (CLUTCH & BRAKE),CLUTCH OTHER
FRONT DOOR LATCH LHS,DOOR LATCH
HAND BRAKE LEVER,HAND BRAKE
POWER WINDOW SWITCH,POWER WINDOW SWITCH
INTERCOOLER INLET HOSE,OTHERS
COWL TOP CORNER RHS,COWL TOP
REAR SEAT CUSHION LOCK,REAR SEAT
FRONT AXLE BEAM,FRONT AXLE
TYRE_185/60/R16,TYRE
BATTERY_35AH_RIGHT,BATTERY
BRAKE MASTER CYLINDER,BRAKE MASTER CYLINDER
STEERING COLUMN,STEERING COLUMN
FRONT ABS SENSOR RHS,BRAKE SENSOR
FRONT LOWER CONTROL ARM (LHS/RHS),CONTROL ARM
BATTERY CLAMP,BATTERY
BLOWER MOTOR,BLOWER MOTOR
FRONT SHOCKER ASSY RHS,SHOCK ABSORBER
BATTERY_68AH_RIGHT,BATTERY
GLOVE BOX LOWER,GLOVE BOX
TPMS SENSOR,SENSOR
FRONT WIPER MOTOR,WIPER MOTOR
GEAR SHIFT LEVER,OTHERS
AC V BELT,V BELT
REAR DOOR LATCH LHS,DOOR LATCH
GLOW PLUG,OTHERS
FUEL LID PANEL,FUEL LID
GLOVE BOX,GLOVE BOX
TYRE_215/75/R15,TYRE
FRONT CRANKSHAFT SEAL,SEAL
REAR DOOR LATCH RHS,DOOR LATCH
ANTENNA,OTHERS
GEAR LEVER BOOT,GEAR LEVER
INTERCOOLER OUTLET HOSE,OTHERS
DICKEY DOOR SWITCH,SWITCH
INSTRUMENT CLUSTER,INSTRUMENT CLUSTER
FRONT FOG LAMP COVER RHS,FOG LAMP
FRONT DRIVE AXLE SEAL LHS,SEAL
SVM MIRROR RHS,MIRROR
FRONT OUTER DOOR HANDLE RHS,DOOR HANDLE
TYRE_185/70/R15,TYRE
ANTENNA BASE,OTHERS
COOLANT ELBOW,COOLANT
FRONT DOOR WEATHERSTRIP LHS (BODY SIDE),WEATHERSTRIP
WIPER WASHER TANK,WASHER PUMP
REAR WINDOW REGULATOR RHS,WINDOW REGULATOR
AC VENT RHS,AC VENT
REAR BRAKE DISC,BRAKE DISC
REAR DOOR PANEL LHS,REAR DOOR
REAR FENDER LINING RHS,REAR FENDER
TYRE_195/60/R15,TYRE
FRONT SEAT BELT LHS,SEAT BELT
RADIATOR SUPPORT LOWER,RADIATOR
WIPER WASHER TANK CAP,WASHER PUMP
HEAD LIGHT COMBINATION SWITCH,HEADLIGHT
TYRE_235/40/R18,TYRE
REAR VIEW MIRROR,MIRROR
POWER STEERING HOSE,POWER STEERING
REAR DOOR WEATHERSTRIP BODY SIDE (LHS/RHS),WEATHERSTRIP
FRONT BRAKE DISC SET,BRAKE DISC
AIR FILTER HOUSING COVER (LOWER),AIR FILTER
REAR BUMPER BRACKET LHS,BUMPER
FENDER INDICATOR (LHS/RHS),FENDER INDICATOR
REAR BUMPER BRACKET RHS,BUMPER
FRONT OUTER DOOR HANDLE LHS,DOOR HANDLE
TYRE_225/45/R17,TYRE
CAR KEY MANUAL WITH IMMOBILISER,CAR KEY
TYRE_235/70/R16,TYRE
FRONT SEAT BELT RHS,SEAT BELT
FUEL FILTER ASSY,OTHERS
CLUTCH KIT (3 PCS),CLUTCH KIT
REAR DOOR PANEL RHS,REAR DOOR
REAR SHOCKER BOOT,SHOCK ABSORBER
TYRE_225/55/R16,TYRE
DICKEY SHOCKER RHS,SHOCK ABSORBER
TIMING CHAIN TENSIONER,TIMING CHAIN
BATTERY_66AH_LEFT,BATTERY
FRONT POWER WINDOW MOTOR LHS,OTHERS
TYRE_205/55/R15,TYRE
BONNET STAY ROD,OTHERS
FRONT BUMPER BRACKET LHS OUTER,BUMPER
EXPANSION VALVE,OTHERS
COWL TOP COVER WEATHERSTRIP,WEATHERSTRIP
COOLANT_PURPLE,COOLANT
STEPNEY BOLT,OTHERS
BATTERY_50AH_RIGHT,BATTERY
BRAKE LIGHT SWITCH,BRAKE SENSOR
SVM COVER RHS,MIRROR
CAR KEY MANUAL WITH REMOTE,CAR KEY
